permutation|permutationMap|result|denot total iterations
1|{232: 237, 237: 3, 236: 10, 10: 236, 233: 0, 2: 2, 0: 11, 11: 242, 242: 233, 3: 232}|( { t = 0 & -a + b > -1 & b >= 0 & a - b >= -177 & a >= 0 } )|246
2|{232: 242, 237: 10, 236: 3, 10: 236, 233: 0, 2: 237, 0: 2, 11: 11, 242: 233, 3: 232}|( { t = 0 & -a + b > -1 & b >= 0 & a - b > -69 & a >= 0 } )|826
3|{232: 233, 237: 236, 236: 11, 10: 237, 233: 3, 2: 10, 0: 232, 11: 0, 242: 242, 3: 2}|( { t = 0 & -a + b > -1 & b >= 0 & a >= 0 } { t = 0 & -a + b > -179 & b >= 0 & a - b >= 1 } )|1657
4|{232: 236, 237: 233, 236: 10, 10: 242, 233: 3, 2: 2, 0: 11, 11: 232, 242: 237, 3: 0}|( { t = 0 & -a + b > -1 & b >= 0 & a - b >= -177 & a >= 0 } )|10
5|{232: 10, 237: 233, 236: 242, 10: 11, 233: 236, 2: 237, 0: 0, 11: 232, 242: 3, 3: 2}|( { t = 0 & -a + b >= -179 & b >= 0 & a - b >= 1 } { t = 0 & -a + b > -1 & b >= 0 & a - b > -177 & a >= 0 } )|747
6|{232: 242, 237: 2, 236: 10, 10: 0, 233: 233, 2: 237, 0: 11, 11: 232, 242: 236, 3: 3}|( { t = 0 & -a + b > -1 & b >= 0 & a - b > -65 & a >= 0 } { t = 0 & -a + b > -63 & b >= 0 & a - b >= 1 } )|251
7|{232: 2, 237: 233, 236: 236, 10: 10, 233: 11, 2: 0, 0: 3, 11: 242, 242: 237, 3: 232}|( { t = 0 & -a + b > -1 & b >= 0 & a >= 0 } { t = 0 & b >= 0 & a - b >= 1 & -a + b >= -67 } )|731
8|{232: 237, 237: 236, 236: 11, 10: 2, 233: 242, 2: 233, 0: 10, 11: 232, 242: 3, 3: 0}|( { t = 0 & -a + b > -1 & b >= 0 & a >= 0 } )|779
9|{232: 2, 237: 242, 236: 0, 10: 237, 233: 236, 2: 3, 0: 11, 11: 233, 242: 232, 3: 10}|( { t = 0 & -a + b > -1 & b >= 0 & a - b >= -177 & a >= 0 } { t = 0 & b >= 0 & a - b >= 1 & -a + b >= -175 } )|716
10|{232: 3, 237: 232, 236: 0, 10: 242, 233: 2, 2: 237, 0: 11, 11: 236, 242: 233, 3: 10}|( { t = 0 & -a + b > -1 & b >= 0 & a >= 0 & a - b > -181 } { t = 0 & -a + b >= -179 & b >= 0 & a - b >= 1 } )|502
11|{232: 2, 237: 11, 236: 3, 10: 233, 233: 237, 2: 232, 0: 236, 11: 10, 242: 242, 3: 0}|( { t = 0 & -a + b > -1 & b >= 0 & a - b >= -177 & a >= 0 } { t = 0 & -a + b >= -179 & b >= 0 & a - b >= 1 } )|244
12|{232: 236, 237: 233, 236: 237, 10: 3, 233: 0, 2: 2, 0: 10, 11: 242, 242: 232, 3: 11}|( { t = 0 & -a + b > -1 & b >= 0 & a - b > -69 & a >= 0 } { t = 0 & -a + b > -179 & b >= 0 & a - b >= 1 } )|965
13|{232: 10, 237: 3, 236: 2, 10: 236, 233: 0, 2: 232, 0: 11, 11: 233, 242: 242, 3: 237}|( { t = 0 & -a + b > -1 & b >= 0 & a - b > -69 & a >= 0 } { t = 0 & -a + b >= -179 & b >= 0 & a - b >= 1 } )|501
14|{232: 232, 237: 242, 236: 236, 10: 10, 233: 233, 2: 0, 0: 11, 11: 237, 242: 3, 3: 2}|( { t = 0 & -a + b > -1 & b >= 0 & a - b >= -65 & a >= 0 } )|252
15|{232: 237, 237: 10, 236: 11, 10: 2, 233: 232, 2: 233, 0: 3, 11: 236, 242: 0, 3: 242}|( { t = 0 & -a + b > -1 & b >= 0 & a >= 0 & a - b > -181 } )|1284
