permutation|permutationMap|result|denot total iterations
1|{3: 3, 237: 237, 236: 236, 232: 232, 10: 10, 242: 242, 11: 11, 0: 0, 2: 2, 233: 233}|( { t = 0 & -a + b >= -63 & b >= 0 & a - b >= 1 } { t = 0 & -a + b > -1 & b >= 0 & a - b >= -61 & a >= 0 } )|243
2|{3: 242, 237: 237, 236: 236, 232: 232, 10: 10, 242: 2, 11: 11, 0: 0, 2: 3, 233: 233}|( { t = 0 & -a + b >= -63 & b >= 0 & a - b >= 1 } { t = 0 & -a + b > -1 & b >= 0 & a - b >= -61 & a >= 0 } )|245
3|{3: 237, 237: 242, 236: 236, 232: 232, 10: 10, 242: 2, 11: 11, 0: 0, 2: 3, 233: 233}|( { t = 0 & -a + b > -1 & b >= 0 & a >= 0 } { t = 0 & -a + b >= -63 & b >= 0 & a - b >= 1 } )|492
4|{3: 242, 237: 2, 236: 236, 232: 232, 10: 10, 242: 237, 11: 11, 0: 0, 2: 3, 233: 233}|( { t = 0 & -a + b >= -63 & b >= 0 & a - b >= 1 } { t = 0 & -a + b > -1 & b >= 0 & a - b >= -61 & a >= 0 } )|245
5|{3: 2, 237: 242, 236: 236, 232: 232, 10: 10, 242: 237, 11: 11, 0: 0, 2: 3, 233: 233}|( { t = 0 & -a + b >= -63 & b >= 0 & a - b >= 1 } { t = 0 & -a + b > -1 & b >= 0 & a - b >= -61 & a >= 0 } )|243
6|{3: 237, 237: 2, 236: 236, 232: 232, 10: 10, 242: 242, 11: 11, 0: 0, 2: 3, 233: 233}|( { t = 0 & -a + b > -1 & b >= 0 & a >= 0 } { t = 0 & -a + b >= -63 & b >= 0 & a - b >= 1 } )|485
7|{3: 2, 237: 237, 236: 236, 232: 232, 10: 10, 242: 242, 11: 11, 0: 0, 2: 3, 233: 233}|( { t = 0 & -a + b >= -63 & b >= 0 & a - b >= 1 } { t = 0 & -a + b > -1 & b >= 0 & a - b >= -61 & a >= 0 } )|243
8|{3: 242, 237: 3, 236: 236, 232: 232, 10: 10, 242: 2, 11: 11, 0: 0, 2: 237, 233: 233}|( { t = 0 & -a + b >= -63 & b >= 0 & a - b >= 1 } { t = 0 & -a + b > -1 & b >= 0 & a - b >= -61 & a >= 0 } )|486
9|{3: 3, 237: 242, 236: 236, 232: 232, 10: 10, 242: 2, 11: 11, 0: 0, 2: 237, 233: 233}|( { t = 0 & -a + b >= -63 & b >= 0 & a - b >= 1 } { t = 0 & -a + b > -1 & b >= 0 & a - b >= -61 & a >= 0 } )|248
10|{3: 242, 237: 2, 236: 236, 232: 232, 10: 10, 242: 3, 11: 11, 0: 0, 2: 237, 233: 233}|( { t = 0 & -a + b >= -63 & b >= 0 & a - b >= 1 } { t = 0 & -a + b > -1 & b >= 0 & a - b >= -61 & a >= 0 } )|243
11|{3: 2, 237: 242, 236: 236, 232: 232, 10: 10, 242: 3, 11: 11, 0: 0, 2: 237, 233: 233}|( { t = 0 & -a + b >= -63 & b >= 0 & a - b >= 1 } { t = 0 & -a + b > -1 & b >= 0 & a - b >= -61 & a >= 0 } )|245
12|{3: 3, 237: 2, 236: 236, 232: 232, 10: 10, 242: 242, 11: 11, 0: 0, 2: 237, 233: 233}|( { t = 0 & -a + b >= -63 & b >= 0 & a - b >= 1 } { t = 0 & -a + b > -1 & b >= 0 & a - b >= -61 & a >= 0 } )|243
13|{3: 2, 237: 3, 236: 236, 232: 232, 10: 10, 242: 242, 11: 11, 0: 0, 2: 237, 233: 233}|( { t = 0 & -a + b >= -63 & b >= 0 & a - b >= 1 } { t = 0 & -a + b > -1 & b >= 0 & a - b >= -61 & a >= 0 } )|488
14|{3: 237, 237: 3, 236: 236, 232: 232, 10: 10, 242: 2, 11: 11, 0: 0, 2: 242, 233: 233}|( { t = 0 & -a + b >= -63 & b >= 0 & a - b >= 1 } { t = 0 & -a + b > -1 & b >= 0 & a - b >= -61 & a >= 0 } )|243
15|{3: 3, 237: 237, 236: 236, 232: 232, 10: 10, 242: 2, 11: 11, 0: 0, 2: 242, 233: 233}|( { t = 0 & -a + b >= -63 & b >= 0 & a - b >= 1 } { t = 0 & -a + b > -1 & b >= 0 & a - b >= -61 & a >= 0 } )|243
16|{3: 237, 237: 2, 236: 236, 232: 232, 10: 10, 242: 3, 11: 11, 0: 0, 2: 242, 233: 233}|( { t = 0 & -a + b >= -63 & b >= 0 & a - b >= 1 } { t = 0 & -a + b > -1 & b >= 0 & a - b >= -61 & a >= 0 } )|486
17|{3: 2, 237: 237, 236: 236, 232: 232, 10: 10, 242: 3, 11: 11, 0: 0, 2: 242, 233: 233}|( { t = 0 & -a + b >= -63 & b >= 0 & a - b >= 1 } { t = 0 & -a + b > -1 & b >= 0 & a - b >= -61 & a >= 0 } )|482
18|{3: 3, 237: 2, 236: 236, 232: 232, 10: 10, 242: 237, 11: 11, 0: 0, 2: 242, 233: 233}|( { t = 0 & -a + b >= -63 & b >= 0 & a - b >= 1 } { t = 0 & -a + b > -1 & b >= 0 & a >= 0 } )|254
19|{3: 2, 237: 3, 236: 236, 232: 232, 10: 10, 242: 237, 11: 11, 0: 0, 2: 242, 233: 233}|( { t = 0 & -a + b >= -63 & b >= 0 & a - b >= 1 } { t = 0 & -a + b > -1 & b >= 0 & a >= 0 } )|492
20|{3: 242, 237: 236, 236: 237, 232: 232, 10: 10, 242: 3, 11: 11, 0: 0, 2: 2, 233: 233}|( { t = 0 & -a + b >= -63 & b >= 0 & a - b >= 1 } { t = 0 & -a + b > -1 & b >= 0 & a - b >= -61 & a >= 0 } )|243
21|{3: 236, 237: 242, 236: 237, 232: 232, 10: 10, 242: 3, 11: 11, 0: 0, 2: 2, 233: 233}|( { t = 0 & -a + b >= -63 & b >= 0 & a - b >= 1 } )|243
22|{3: 242, 237: 3, 236: 237, 232: 232, 10: 10, 242: 236, 11: 11, 0: 0, 2: 2, 233: 233}|( { t = 0 & -a + b >= -63 & b >= 0 & a - b >= 1 } )|242
23|{3: 3, 237: 242, 236: 237, 232: 232, 10: 10, 242: 236, 11: 11, 0: 0, 2: 2, 233: 233}|( { t = 0 & -a + b >= -63 & b >= 0 & a - b >= 1 } { t = 0 & -a + b > -1 & b >= 0 & a - b > -61 & a >= 0 } )|247
24|{3: 236, 237: 3, 236: 237, 232: 232, 10: 10, 242: 242, 11: 11, 0: 0, 2: 2, 233: 233}|( { t = 0 & -a + b >= -63 & b >= 0 & a - b >= 1 } { t = 0 & -a + b > -1 & b >= 0 & a - b > -61 & a >= 0 } )|245
25|{3: 3, 237: 236, 236: 237, 232: 232, 10: 10, 242: 242, 11: 11, 0: 0, 2: 2, 233: 233}|( { t = 0 & -a + b >= -63 & b >= 0 & a - b >= 1 } { t = 0 & -a + b > -1 & b >= 0 & a - b >= -61 & a >= 0 } )|243
26|{3: 242, 237: 236, 236: 237, 232: 232, 10: 10, 242: 2, 11: 11, 0: 0, 2: 3, 233: 233}|( { t = 0 & -a + b >= -63 & b >= 0 & a - b >= 1 } { t = 0 & -a + b > -1 & b >= 0 & a - b >= -61 & a >= 0 } )|245
27|{3: 236, 237: 242, 236: 237, 232: 232, 10: 10, 242: 2, 11: 11, 0: 0, 2: 3, 233: 233}|( { t = 0 & -a + b > -1 & b >= 0 & a - b >= -177 & a >= 0 } { t = 0 & -a + b >= -63 & b >= 0 & a - b >= 1 } )|248
28|{3: 242, 237: 2, 236: 237, 232: 232, 10: 10, 242: 236, 11: 11, 0: 0, 2: 3, 233: 233}|( { t = 0 & -a + b >= -63 & b >= 0 & a - b >= 1 } )|243
29|{3: 2, 237: 242, 236: 237, 232: 232, 10: 10, 242: 236, 11: 11, 0: 0, 2: 3, 233: 233}|( { t = 0 & -a + b >= -63 & b >= 0 & a - b >= 1 } { t = 0 & -a + b > -1 & b >= 0 & a - b > -61 & a >= 0 } )|247
30|{3: 236, 237: 2, 236: 237, 232: 232, 10: 10, 242: 242, 11: 11, 0: 0, 2: 3, 233: 233}|( { t = 0 & -a + b > -1 & b >= 0 & a - b >= -177 & a >= 0 } { t = 0 & -a + b >= -63 & b >= 0 & a - b >= 1 } )|243
31|{3: 2, 237: 236, 236: 237, 232: 232, 10: 10, 242: 242, 11: 11, 0: 0, 2: 3, 233: 233}|( { t = 0 & -a + b >= -63 & b >= 0 & a - b >= 1 } { t = 0 & -a + b > -1 & b >= 0 & a - b >= -61 & a >= 0 } )|243
32|{3: 242, 237: 3, 236: 237, 232: 232, 10: 10, 242: 2, 11: 11, 0: 0, 2: 236, 233: 233}|( { t = 0 & -a + b >= -63 & b >= 0 & a - b >= 1 } { t = 0 & -a + b > -1 & b >= 0 & a >= 0 } )|250
33|{3: 3, 237: 242, 236: 237, 232: 232, 10: 10, 242: 2, 11: 11, 0: 0, 2: 236, 233: 233}|( { t = 0 & -a + b > -1 & b >= 0 & a >= 0 } { t = 0 & -a + b >= -63 & b >= 0 & a - b >= 1 } )|502
34|{3: 242, 237: 2, 236: 237, 232: 232, 10: 10, 242: 3, 11: 11, 0: 0, 2: 236, 233: 233}|( { t = 0 & -a + b >= -63 & b >= 0 & a - b >= 1 } { t = 0 & -a + b > -1 & b >= 0 & a >= 0 } )|251
35|{3: 2, 237: 242, 236: 237, 232: 232, 10: 10, 242: 3, 11: 11, 0: 0, 2: 236, 233: 233}|( { t = 0 & -a + b >= -63 & b >= 0 & a - b >= 1 } { t = 0 & -a + b > -1 & b >= 0 & a >= 0 } )|494
36|{3: 3, 237: 2, 236: 237, 232: 232, 10: 10, 242: 242, 11: 11, 0: 0, 2: 236, 233: 233}|( { t = 0 & -a + b > -1 & b >= 0 & a >= 0 } { t = 0 & -a + b >= -63 & b >= 0 & a - b >= 1 } )|251
37|{3: 2, 237: 3, 236: 237, 232: 232, 10: 10, 242: 242, 11: 11, 0: 0, 2: 236, 233: 233}|( { t = 0 & -a + b > -1 & b >= 0 & a >= 0 } { t = 0 & -a + b >= -63 & b >= 0 & a - b >= 1 } )|490
38|{3: 236, 237: 3, 236: 237, 232: 232, 10: 10, 242: 2, 11: 11, 0: 0, 2: 242, 233: 233}|( { t = 0 & -a + b >= -63 & b >= 0 & a - b >= 1 } { t = 0 & -a + b > -1 & b >= 0 & a - b > -61 & a >= 0 } )|245
39|{3: 3, 237: 236, 236: 237, 232: 232, 10: 10, 242: 2, 11: 11, 0: 0, 2: 242, 233: 233}|( { t = 0 & -a + b >= -63 & b >= 0 & a - b >= 1 } { t = 0 & -a + b > -1 & b >= 0 & a - b >= -61 & a >= 0 } )|243
40|{3: 236, 237: 2, 236: 237, 232: 232, 10: 10, 242: 3, 11: 11, 0: 0, 2: 242, 233: 233}|( { t = 0 & -a + b >= -63 & b >= 0 & a - b >= 1 } )|480
41|{3: 2, 237: 236, 236: 237, 232: 232, 10: 10, 242: 3, 11: 11, 0: 0, 2: 242, 233: 233}|( { t = 0 & -a + b >= -63 & b >= 0 & a - b >= 1 } { t = 0 & -a + b > -1 & b >= 0 & a - b >= -61 & a >= 0 } )|482
42|{3: 3, 237: 2, 236: 237, 232: 232, 10: 10, 242: 236, 11: 11, 0: 0, 2: 242, 233: 233}|( { t = 0 & -a + b > -1 & b >= 0 & a - b >= -177 & a >= 0 } { t = 0 & -a + b >= -63 & b >= 0 & a - b >= 1 } )|245
43|{3: 2, 237: 3, 236: 237, 232: 232, 10: 10, 242: 236, 11: 11, 0: 0, 2: 242, 233: 233}|( { t = 0 & -a + b > -1 & b >= 0 & a - b >= -177 & a >= 0 } { t = 0 & -a + b >= -63 & b >= 0 & a - b >= 1 } )|246
44|{3: 237, 237: 236, 236: 242, 232: 232, 10: 10, 242: 3, 11: 11, 0: 0, 2: 2, 233: 233}|( { t = 0 & -a + b >= -63 & b >= 0 & a - b >= 1 } )|242
45|{3: 236, 237: 237, 236: 242, 232: 232, 10: 10, 242: 3, 11: 11, 0: 0, 2: 2, 233: 233}|( { t = 0 & -a + b >= -63 & b >= 0 & a - b >= 1 } )|241
46|{3: 237, 237: 3, 236: 242, 232: 232, 10: 10, 242: 236, 11: 11, 0: 0, 2: 2, 233: 233}|( { t = 0 & -a + b >= -63 & b >= 0 & a - b >= 1 } { t = 0 & -a + b > -1 & b >= 0 & a - b >= -61 & a >= 0 } )|243
47|{3: 3, 237: 237, 236: 242, 232: 232, 10: 10, 242: 236, 11: 11, 0: 0, 2: 2, 233: 233}|( { t = 0 & -a + b >= -63 & b >= 0 & a - b >= 1 } { t = 0 & -a + b > -1 & b >= 0 & a - b >= -61 & a >= 0 } )|243
48|{3: 236, 237: 3, 236: 242, 232: 232, 10: 10, 242: 237, 11: 11, 0: 0, 2: 2, 233: 233}|( { t = 0 & -a + b >= -63 & b >= 0 & a - b >= 1 } { t = 0 & -a + b > -1 & b >= 0 & a - b >= -65 & a >= 0 } )|251
49|{3: 3, 237: 236, 236: 242, 232: 232, 10: 10, 242: 237, 11: 11, 0: 0, 2: 2, 233: 233}|( { t = 0 & -a + b >= -63 & b >= 0 & a - b >= 1 } { t = 0 & -a + b > -1 & b >= 0 & a - b >= -65 & a >= 0 } )|250
