Iteration,k,t,%Pta,%Psp,%rta,%rl,%dta,%dl,%dx,%Ata,%Ats,%Ate,%Ato,%Atx,%Afx,%Afs,%Afe,%Aff,%Afox,%Afos,%Afoe,%Afof,%Abx,%Abs,%Abe,%Abf,%Abi,%Abc,%Abm,%Dt,%Dx
1,1,10,4,3,4,10,6,52,1.9956e-05,1,8,17,High,0.004217785000000001,5.538e-06,7,15,1,2.44e-07,7,13,1,9.942300000000001e-05,11,17,2,2,10,1,11,0.003895313
2,2,10,4,3,4,13,6,57,1.6821e-05,1,10,23,High,0.0051377770000000005,6.231e-06,9,21,1,2.7900000000000005e-07,9,19,1,0.00013113300000000002,15,25,2,2,13,1,15,0.007233333000000001
3,3,10,4,3,4,16,6,62,1.7974e-05,1,12,29,High,0.0061108230000000005,6.773e-06,11,27,1,3.2400000000000004e-07,11,25,1,0.00014215700000000001,19,33,2,2,16,1,19,0.009257221000000001
4,4,10,4,3,4,19,6,67,1.8469000000000002e-05,1,14,35,High,0.007029779000000001,6.9010000000000005e-06,13,33,1,3.73e-07,13,31,1,0.000168022,23,41,2,2,19,1,23,0.012740185000000001
5,5,10,4,3,4,22,6,72,2.8437000000000002e-05,1,16,41,High,0.008065942000000001,7.235e-06,15,39,1,3.58e-07,15,37,1,0.000177884,27,49,2,2,22,1,27,0.015779921000000002
6,6,10,4,3,4,25,6,77,1.8711e-05,1,18,47,High,0.008825280000000001,7.723e-06,17,45,1,4.52e-07,17,43,1,0.000203145,31,57,2,2,25,1,31,0.018831986000000002
7,7,10,4,3,4,28,6,82,1.8441000000000002e-05,1,20,53,High,0.009617802000000002,2.2631e-05,19,51,1,3.92e-07,19,49,1,0.000192618,35,65,2,2,28,1,35,0.021164736000000003
8,8,10,4,3,4,31,6,87,1.9995e-05,1,22,59,High,0.010466041,1.1082000000000002e-05,21,57,1,4.0500000000000004e-07,21,55,1,0.000196684,39,73,2,2,31,1,39,0.024173517000000002
9,9,10,4,3,4,34,6,92,2.0657000000000002e-05,1,24,65,High,0.011367363,2.5355e-05,23,63,1,4.18e-07,23,61,1,0.000225452,43,81,2,2,34,1,43,0.026538639000000003
10,10,10,4,3,4,37,6,97,2.1118e-05,1,26,71,High,0.012366962,3.0147e-05,25,69,1,4.52e-07,25,67,1,0.000233104,47,89,2,2,37,1,47,0.030257432
11,11,20,4,3,4,40,6,102,2.1396000000000003e-05,1,28,77,High,0.013495139000000001,3.0039e-05,27,75,1,4.85e-07,27,73,1,0.00026093700000000004,51,97,2,2,40,1,51,0.032553544000000004
12,12,20,4,3,4,43,6,107,2.2008e-05,1,30,83,High,0.014381851000000001,2.7711000000000003e-05,29,81,1,4.3800000000000003e-07,29,79,1,0.00026746900000000005,55,105,2,2,43,1,55,0.035489223
13,13,20,4,3,4,46,6,112,2.2477000000000002e-05,1,32,89,High,0.015507519,1.3487000000000001e-05,31,87,1,4.970000000000001e-07,31,85,1,0.000279992,59,113,2,2,46,1,59,0.037827941000000004
14,14,20,4,3,4,49,6,117,2.2270000000000002e-05,1,34,95,High,0.012963581,2.9603e-05,33,93,1,5.340000000000001e-07,33,91,1,0.000296273,63,121,2,2,49,1,63,0.041043505
15,15,20,4,3,4,52,6,122,2.3783000000000003e-05,1,36,101,High,0.013647564000000001,1.4111000000000001e-05,35,99,1,5.32e-07,35,97,1,0.00029604800000000004,67,129,2,2,52,1,67,0.043154402
16,16,20,4,3,4,55,6,127,2.7248e-05,1,38,107,High,0.014852225,3.2737e-05,37,105,1,4.907000000000001e-06,37,103,1,0.00031024300000000003,71,137,2,2,55,1,71,0.046660807000000006
