Iteration,k,t,%Pta,%Psp,%rta,%rl,%dta,%dl,%dx,%Ata,%Ats,%Ate,%Ato,%Atx,%Afx,%Afs,%Afe,%Aff,%Afox,%Afos,%Afoe,%Afof,%Abx,%Abs,%Abe,%Abf,%Abi,%Abc,%Abm,%Dt,%Dx
1,1,10,4,3,4,10,6,52,2.0364e-05,1,8,17,High,0.004209811000000001,6.049e-06,7,15,1,2.09e-07,7,13,1,0.00010516900000000001,11,17,2,2,10,1,11,0.0038688200000000002
2,2,10,4,3,4,13,6,57,1.5693e-05,1,10,23,High,0.0051222920000000005,6.3590000000000004e-06,9,21,1,3.04e-07,9,19,1,0.00013131900000000002,15,25,2,2,13,1,15,0.0072296800000000005
3,3,10,4,3,4,16,6,62,1.6273e-05,1,12,29,High,0.0061053,6.7650000000000005e-06,11,27,1,2.9000000000000003e-07,11,25,1,0.000149793,19,33,2,2,16,1,19,0.009313972
4,4,10,4,3,4,19,6,67,1.8027000000000002e-05,1,14,35,High,0.007056412000000001,7.094e-06,13,33,1,3.5200000000000003e-07,13,31,1,0.000159335,23,41,2,2,19,1,23,0.012978020000000002
5,5,10,4,3,4,22,6,72,1.7655000000000003e-05,1,16,41,High,0.00804929,7.316000000000001e-06,15,39,1,4.18e-07,15,37,1,0.000178406,27,49,2,2,22,1,27,0.015645596
6,6,10,4,3,4,25,6,77,1.8820000000000003e-05,1,18,47,High,0.008808459000000001,7.94e-06,17,45,1,3.7900000000000005e-07,17,43,1,0.000199647,31,57,2,2,25,1,31,0.018668812000000003
7,7,10,4,3,4,28,6,82,1.9945000000000003e-05,1,20,53,High,0.009665186000000001,2.3947000000000003e-05,19,51,1,3.99e-07,19,49,1,0.000200442,35,65,2,2,28,1,35,0.021095551
8,8,10,4,3,4,31,6,87,2.0265000000000003e-05,1,22,59,High,0.010463251000000002,1.1466000000000002e-05,21,57,1,5.53e-07,21,55,1,0.000215113,39,73,2,2,31,1,39,0.024227102
9,9,10,4,3,4,34,6,92,2.0669e-05,1,24,65,High,0.011504418,2.5913e-05,23,63,1,4.2200000000000005e-07,23,61,1,0.000220193,43,81,2,2,34,1,43,0.02650392
10,10,10,4,3,4,37,6,97,2.2995000000000003e-05,1,26,71,High,0.012245989,2.7519000000000002e-05,25,69,1,4.4100000000000004e-07,25,67,1,0.000236963,47,89,2,2,37,1,47,0.029997535000000002
