TOTAL_VARIABLES,ALTERNATIONS,EX_TIME_SECONDS,DENOT_IS_INCOMPLETE_RESULT,DENOT_TOT_ITERATIONS,DENOT_EX_TIME_SECONDS,DENOT_TOT_PATHS,DENOT_TOT_REDUNDANT_PATHS,DENOT_TOT_REACH_CALLS,DENOT_MAX_ITERATIONS,DENOT_RESULT,TOTAL_STATES,TOTAL_INIT_STATES,TOTAL_ACCEPTING_STATES,TOTAL_EDGES,TOTAL_PATCHES,MAX_PATCHES,NFA_MAX_REC_DEPTH,TOTAL_SCC,AUTOMATON_EX_TIME_SECONDS,TRANSLATION_OPT_LEVEL,TRANSLATION_EX_TIME_SECONDS,TRANSLATION_TOTAL_STATES,TRANSLATION_TOTAL_INIT_STATES,TRANSLATION_TOTAL_EDGES,TRANSLATION_TOTAL_SCC
3,1,.0712833,0,12,0.004500,2,0,20,30000,( { t = 0 & -b + a >= 1 & b - a >= -29 & b >= 0 } { t = 0 & -b + a >= -27 & a >= 0 & b - a > -1 & b >= 0 } ),14,4,2,22,14,1,29,13,0.004531,High,0.004079,8,1,20,5
3,10,.0908715,0,48,0.028652,2,0,83,30000,( { t = 0 & a >= 0 & b - a >= 1 & -b + a >= -41 } { t = 0 & -b + a > -1 & a >= 0 & b - a >= -39 & b >= 0 } ),50,4,2,94,50,1,101,40,0.013150,High,0.011883,26,1,74,14
3,20,.1468808,0,88,0.057424,2,0,153,30000,( { t = 0 & -b + a >= -51 & a >= 0 & b - a >= 1 } { t = 0 & -b + a > -1 & a >= 0 & b >= 0 & b - a >= -49 } ),90,4,2,174,90,1,181,70,0.027594,High,0.024989,46,1,134,24
3,30,.1747372,0,128,0.080334,2,0,223,30000,( { t = 0 & -b + a >= -61 & a >= 0 & b - a >= 1 } { t = 0 & -b + a > -1 & a >= 0 & b - a >= -59 & b >= 0 } ),130,4,2,254,130,1,261,100,0.038561,High,0.035789,66,1,194,34
3,40,.2265353,0,168,0.106735,2,0,293,30000,( { t = 0 & a >= 0 & b - a >= 1 & -b + a >= -71 } { t = 0 & -b + a > -1 & a >= 0 & b - a >= -69 & b >= 0 } ),170,4,2,334,170,1,341,130,0.067727,High,0.064191,86,1,254,44
3,50,.2950145,0,208,0.132597,2,0,363,30000,( { t = 0 & -b + a >= -81 & a >= 0 & b - a >= 1 } { t = 0 & -b + a > -1 & a >= 0 & b >= 0 & b - a >= -79 } ),210,4,2,414,210,1,421,160,0.109011,High,0.104698,106,1,314,54
3,60,.4963747,0,495,0.276808,4,0,867,30000,( { t = 0 & -b + a >= -91 & a >= 0 & b - a >= 1 } { t = 0 & -b + a > -1 & a >= 0 & b - a >= -89 & b >= 0 } ),252,4,2,500,252,1,505,191,0.166108,High,0.160500,126,1,436,64
3,70,.6142471,0,575,0.333177,4,0,1007,30000,( { t = 0 & a >= 0 & b - a >= 1 & -b + a >= -101 } { t = 0 & -b + a > -1 & a >= 0 & b - a >= -99 & b >= 0 } ),292,4,2,580,292,1,585,221,0.214379,High,0.207199,146,1,506,74
3,80,.7082712,0,655,0.374905,4,0,1147,30000,( { t = 0 & -b + a >= -111 & a >= 0 & b - a >= 1 } { t = 0 & -b + a > -1 & a >= 0 & b >= 0 & b - a >= -109 } ),332,4,2,660,332,1,665,251,0.265787,High,0.258476,166,1,576,84
3,90,.8129486,0,735,0.424215,4,0,1287,30000,( { t = 0 & -b + a >= -121 & a >= 0 & b - a >= 1 } { t = 0 & -b + a > -1 & a >= 0 & b - a >= -119 & b >= 0 } ),372,4,2,740,372,1,745,281,0.313419,High,0.305331,186,1,646,94
3,100,.9248884,0,815,0.466706,4,0,1427,30000,( { t = 0 & a >= 0 & b - a >= 1 & -b + a >= -131 } { t = 0 & -b + a > -1 & a >= 0 & b - a >= -129 & b >= 0 } ),412,4,2,820,412,1,825,311,0.379619,High,0.371025,206,1,716,104
3,110,1.0369610,0,895,0.518713,4,0,1567,30000,( { t = 0 & -b + a >= -141 & a >= 0 & b - a >= 1 } { t = 0 & -b + a > -1 & a >= 0 & b >= 0 & b - a >= -139 } ),452,4,2,900,452,1,905,341,0.445615,High,0.436104,226,1,786,114
3,120,1.1809415,0,975,0.570648,4,0,1707,30000,( { t = 0 & -b + a >= -151 & a >= 0 & b - a >= 1 } { t = 0 & -b + a > -1 & a >= 0 & b - a >= -149 & b >= 0 } ),492,4,2,980,492,1,985,371,0.522718,High,0.512034,246,1,856,124
3,130,1.2830620,0,1055,0.596277,4,0,1847,30000,( { t = 0 & a >= 0 & b - a >= 1 & -b + a >= -161 } { t = 0 & -b + a > -1 & a >= 0 & b - a >= -159 & b >= 0 } ),532,4,2,1060,532,1,1065,401,0.610274,High,0.599189,266,1,926,134
3,140,1.4826706,0,1135,0.673178,4,0,1987,30000,( { t = 0 & -b + a >= -171 & a >= 0 & b - a >= 1 } { t = 0 & -b + a > -1 & a >= 0 & b >= 0 & b - a >= -169 } ),572,4,2,1140,572,1,1145,431,0.719086,High,0.706781,286,1,996,144
3,150,1.6340508,0,1215,0.723608,4,0,2127,30000,( { t = 0 & -b + a >= -181 & a >= 0 & b - a >= 1 } { t = 0 & -b + a > -1 & a >= 0 & b - a >= -179 & b >= 0 } ),612,4,2,1220,612,1,1225,461,0.824558,High,0.810983,306,1,1066,154
3,160,1.8094267,0,1295,0.771126,4,0,2267,30000,( { t = 0 & a >= 0 & b - a >= 1 & -b + a >= -191 } { t = 0 & -b + a > -1 & a >= 0 & b - a >= -189 & b >= 0 } ),652,4,2,1300,652,1,1305,491,0.952588,High,0.937811,326,1,1136,164
3,170,1.9656699,0,1375,0.807296,4,0,2407,30000,( { t = 0 & -b + a >= -201 & a >= 0 & b - a >= 1 } { t = 0 & -b + a > -1 & a >= 0 & b >= 0 & b - a >= -199 } ),692,4,2,1380,692,1,1385,521,1.072376,High,1.057141,346,1,1206,174
3,180,2.1515057,0,1455,0.863785,4,0,2547,30000,( { t = 0 & -b + a >= -211 & a >= 0 & b - a >= 1 } { t = 0 & -b + a > -1 & a >= 0 & b - a >= -209 & b >= 0 } ),732,4,2,1460,732,1,1465,551,1.200282,High,1.184872,366,1,1276,184
3,190,2.3505830,0,1535,0.887465,4,0,2687,30000,( { t = 0 & a >= 0 & b - a >= 1 & -b + a >= -221 } { t = 0 & -b + a > -1 & a >= 0 & b - a >= -219 & b >= 0 } ),772,4,2,1540,772,1,1545,581,1.369799,High,1.352474,386,1,1346,194
3,200,2.6648620,0,1615,0.949372,4,0,2827,30000,( { t = 0 & -b + a >= -231 & a >= 0 & b - a >= 1 } { t = 0 & -b + a > -1 & a >= 0 & b >= 0 & b - a >= -229 } ),812,4,2,1620,812,1,1625,611,1.621819,High,1.604441,406,1,1416,204
3,210,2.992242,0,1695,1.017950,4,0,2967,30000,( { t = 0 & -b + a >= -241 & a >= 0 & b - a >= 1 } { t = 0 & -b + a > -1 & a >= 0 & b - a >= -239 & b >= 0 } ),852,4,2,1700,852,1,1705,641,1.865657,High,1.846875,426,1,1486,214
3,220,3.2487781,0,1775,1.063648,4,0,3107,30000,( { t = 0 & a >= 0 & b - a >= 1 & -b + a >= -251 } { t = 0 & -b + a > -1 & a >= 0 & b - a >= -249 & b >= 0 } ),892,4,2,1780,892,1,1785,671,2.073259,High,2.053689,446,1,1556,224
3,230,3.6220631,0,1855,1.119252,4,0,3247,30000,( { t = 0 & -b + a >= -261 & a >= 0 & b - a >= 1 } { t = 0 & -b + a > -1 & a >= 0 & b >= 0 & b - a >= -259 } ),932,4,2,1860,932,1,1865,701,2.397558,High,2.376895,466,1,1626,234
3,240,4.0068555,0,1935,1.157979,4,0,3387,30000,( { t = 0 & -b + a >= -271 & a >= 0 & b - a >= 1 } { t = 0 & -b + a > -1 & a >= 0 & b - a >= -269 & b >= 0 } ),972,4,2,1940,972,1,1945,731,2.739952,High,2.718481,486,1,1696,244
3,250,4.4175961,0,2015,1.209950,4,0,3527,30000,( { t = 0 & a >= 0 & b - a >= 1 & -b + a >= -281 } { t = 0 & -b + a > -1 & a >= 0 & b - a >= -279 & b >= 0 } ),1012,4,2,2020,1012,1,2025,761,3.092560,High,3.070167,506,1,1766,254
