TOTAL_VARIABLES,ALTERNATIONS,EX_TIME_SECONDS,DENOT_IS_INCOMPLETE_RESULT,DENOT_TOT_ITERATIONS,DENOT_EX_TIME_SECONDS,DENOT_TOT_PATHS,DENOT_TOT_REACH_CALLS,DENOT_MAX_ITERATIONS,DENOT_RESULT,TOTAL_STATES,TOTAL_INIT_STATES,TOTAL_ACCEPTING_STATES,TOTAL_EDGES,TOTAL_PATCHES,MAX_PATCHES,NFA_MAX_REC_DEPTH,TOTAL_SCC,AUTOMATON_EX_TIME_SECONDS,TRANSLATION_OPT_LEVEL,TRANSLATION_EX_TIME_SECONDS,TRANSLATION_TOTAL_STATES,TRANSLATION_TOTAL_INIT_STATES,TRANSLATION_TOTAL_EDGES,TRANSLATION_TOTAL_SCC
3,1,.0788128,0,12,0.004370,2,20,100000,( { t = 0 & -b + a >= 1 & b - a >= -29 & b >= 0 } { t = 0 & -b + a >= -27 & a >= 0 & b - a > -1 & b >= 0 } ),14,4,2,22,14,1,29,13,0.004589,High,0.004130,8,1,20,5
3,2,.0578758,0,16,0.007626,2,27,100000,( { t = 0 & -b + a >= -27 & a >= 0 & b - a >= 1 } { t = 0 & -b + a > -1 & a >= 0 & b >= 0 & b - a >= -25 } ),18,4,2,30,18,1,37,16,0.005526,High,0.004939,10,1,26,6
3,3,.0696807,0,20,0.009453,2,34,100000,( { t = 0 & -b + a >= 1 & b >= 0 & b - a >= -25 } { t = 0 & a >= 0 & b - a > -1 & b >= 0 & -b + a >= -23 } ),22,4,2,38,22,1,45,19,0.006504,High,0.005876,12,1,32,7
3,4,.0644188,0,24,0.013367,2,41,100000,( { t = 0 & a >= 0 & b - a >= 1 & -b + a >= -23 } { t = 0 & -b + a > -1 & a >= 0 & b - a >= -21 & b >= 0 } ),26,4,2,46,26,1,53,22,0.007789,High,0.007050,14,1,38,8
3,5,.0734063,0,28,0.015310,2,48,100000,( { t = 0 & -b + a >= 1 & b - a >= -21 & b >= 0 } { t = 0 & -b + a >= -19 & a >= 0 & b - a > -1 & b >= 0 } ),30,4,2,54,30,1,61,25,0.008557,High,0.007739,16,1,44,9
3,6,.0772066,0,32,0.018299,2,55,100000,( { t = 0 & -b + a >= -19 & a >= 0 & b - a >= 1 } { t = 0 & -b + a > -1 & a >= 0 & b - a >= -17 & b >= 0 } ),34,4,2,62,34,1,69,28,0.009308,High,0.008398,18,1,50,10
3,7,.0931932,0,36,0.019897,2,62,100000,( { t = 0 & -b + a >= 1 & b - a >= -17 & b >= 0 } { t = 0 & -b + a >= -15 & a >= 0 & b - a > -1 & b >= 0 } ),38,4,2,70,38,1,77,31,0.014413,High,0.013403,20,1,56,11
3,8,.0971257,0,40,0.023501,2,69,100000,( { t = 0 & -b + a >= -15 & a >= 0 & b - a >= 1 } { t = 0 & -b + a > -1 & a >= 0 & b >= 0 & b - a >= -13 } ),42,4,2,78,42,1,85,34,0.011405,High,0.010039,22,1,62,12
3,9,.0813210,0,44,0.025231,2,76,100000,( { t = 0 & -b + a >= 1 & b >= 0 & b - a >= -13 } { t = 0 & a >= 0 & b - a > -1 & b >= 0 & -b + a >= -11 } ),46,4,2,86,46,1,93,37,0.012084,High,0.010931,24,1,68,13
3,10,.0829675,0,48,0.028620,2,83,100000,( { t = 0 & a >= 0 & b - a >= 1 & -b + a >= -11 } { t = 0 & -b + a > -1 & a >= 0 & b - a >= -9 & b >= 0 } ),50,4,2,94,50,1,101,40,0.013317,High,0.012081,26,1,74,14
4,1,.0933984,0,12,0.028382,2,20,100000,( { t = 0 & a >= 0 & b >= 0 & c - b + a >= 1 & c >= 0 & -c + b - a >= -39 & -c + b >= -29 & b - a >= -19 } { t = 0 & -c + b - a > -1 & a >= 0 & b >= 0 & c >= 0 & c - b + a >= -37 } ),14,4,2,22,14,1,29,13,0.004730,High,0.004179,8,1,20,5
4,2,.0998655,0,16,0.036495,2,27,100000,( { t = 0 & -c + b - a >= 1 & a >= 0 & c >= 0 & c - b + a >= -37 } { t = 0 & a >= 0 & b >= 0 & c - b + a > -1 & c >= 0 & -c + b - a >= -35 & -c + b >= -26 & b - a >= -17 } ),18,4,2,30,18,1,37,16,0.005650,High,0.004956,10,1,26,6
4,3,.1216970,0,20,0.053857,2,34,100000,( { t = 0 & a >= 0 & b >= 0 & c - b + a >= 1 & c >= 0 & -c + b - a >= -35 & -c + b >= -26 & b - a >= -17 } { t = 0 & -c + b - a > -1 & a >= 0 & b >= 0 & c >= 0 & c - b + a >= -33 } ),22,4,2,38,22,1,45,19,0.006648,High,0.005874,12,1,32,7
