Iteration,k,t,%Pta,%Psp,%rta,%rl,%dta,%dl,%dx,%Ata,%Ats,%Ate,%Ato,%Atx,%Afx,%Afs,%Afe,%Aff,%Afox,%Afos,%Afoe,%Afof,%Abx,%Abs,%Abe,%Abf,%Abi,%Abc,%Abm,%Dt,%Dx
1,1,10,4,3,4,10,6,52,1.6193000000000002e-05,1,8,17,High,0.0042330150000000006,5.775000000000001e-06,7,15,1,2.1300000000000001e-07,7,13,1,9.3547e-05,11,17,2,2,10,1,20,0.0036615180000000003
2,2,10,4,3,4,13,6,57,1.5497e-05,1,10,23,High,0.005101008000000001,6.256000000000001e-06,9,21,1,2.5900000000000003e-07,9,19,1,0.00012010100000000001,15,25,2,2,13,1,43,0.008481007
3,3,10,4,3,4,16,6,62,1.5796000000000003e-05,1,12,29,High,0.006047327000000001,6.9300000000000006e-06,11,27,1,3.03e-07,11,25,1,0.000142921,19,33,2,2,16,1,89,0.018041056000000003
4,4,10,4,3,4,19,6,67,2.3476e-05,1,14,35,High,0.007185445,6.705e-06,13,33,1,3.3100000000000004e-07,13,31,1,0.000155899,23,41,2,2,19,1,181,0.037533685000000004
5,5,10,4,3,4,22,6,72,1.7791000000000003e-05,1,16,41,High,0.008128221000000001,7.0370000000000006e-06,15,39,1,3.99e-07,15,37,1,0.00017154500000000003,27,49,2,2,22,1,365,0.08286992900000001
6,6,10,4,3,4,25,6,77,1.8742e-05,1,18,47,High,0.008847728000000001,7.751e-06,17,45,1,3.8800000000000003e-07,17,43,1,0.000182615,31,57,2,2,25,1,733,0.166336285
7,7,10,4,3,4,28,6,82,2.1781e-05,1,20,53,High,0.009670888,1.2230000000000001e-05,19,51,1,4.3e-07,19,49,1,0.00018023100000000002,35,65,2,2,28,1,1469,0.33297913700000004
8,8,10,4,3,4,31,6,87,2.9769000000000002e-05,1,22,59,High,0.010971652,9.655000000000002e-06,21,57,1,3.9100000000000005e-07,21,55,1,0.00019181200000000003,39,73,2,2,31,1,2941,0.6716082400000001
9,9,10,4,3,4,34,6,92,2.0672e-05,1,24,65,High,0.011606309,2.6258e-05,23,63,1,3.9300000000000004e-07,23,61,1,0.000206264,43,81,2,2,34,1,5885,1.340869061
10,10,10,4,3,4,37,6,97,2.4965000000000002e-05,1,26,71,High,0.012307821,3.0690000000000006e-05,25,69,1,4.91e-07,25,67,1,0.00021932800000000003,47,89,2,2,37,1,11773,2.6805330680000004
11,11,20,4,3,4,40,6,102,2.2279e-05,1,28,77,High,0.013492676,2.8514000000000002e-05,27,75,1,4.81e-07,27,73,1,0.000228888,51,97,2,2,40,1,23549,5.3647305020000005
12,12,20,4,3,4,43,6,107,2.4924e-05,1,30,83,High,0.014542125000000001,2.8543e-05,29,81,1,4.4300000000000004e-07,29,79,1,0.00024532400000000005,55,105,2,2,43,1,47101,10.724222441
13,13,20,4,3,4,46,6,112,3.1325e-05,1,32,89,High,0.015587028000000001,1.3931000000000001e-05,31,87,1,4.6500000000000005e-07,31,85,1,0.00025807900000000003,59,113,2,2,46,1,94205,21.466062207
14,14,20,4,3,4,49,6,117,2.6807000000000003e-05,1,34,95,High,0.01290347,2.9186e-05,33,93,1,4.890000000000001e-07,33,91,1,0.000267946,63,121,2,2,49,1,188413,43.321056049000006
15,15,20,4,3,4,52,6,122,2.3199000000000003e-05,1,36,101,High,0.013760926000000001,1.4621000000000001e-05,35,99,1,5.000000000000001e-07,35,97,1,0.00028811200000000004,67,129,2,2,52,1,376829,86.12821252200001
