Iteration,k,t,%Pta,%Psp,%rta,%rl,%dta,%dl,%dx,%Ata,%Ats,%Ate,%Ato,%Atx,%Afx,%Afs,%Afe,%Aff,%Afox,%Afos,%Afoe,%Afof,%Abx,%Abs,%Abe,%Abf,%Abi,%Abc,%Abm,%Dt,%Dx
1,1,10,4,3,4,10,6,52,1.7295000000000003e-05,1,8,17,High,0.0041849420000000005,5.28e-06,7,15,1,2.2900000000000003e-07,7,13,1,9.194900000000001e-05,11,17,2,2,10,1,14,0.002908054
2,2,10,4,3,4,13,6,57,1.6946e-05,1,10,23,High,0.005103979000000001,6.6410000000000005e-06,9,21,1,2.7100000000000003e-07,9,19,1,0.00012673800000000002,15,25,2,2,13,1,19,0.0044967240000000006
3,3,10,4,3,4,16,6,62,2.78e-05,1,12,29,High,0.0064184970000000004,6.9740000000000005e-06,11,27,1,2.77e-07,11,25,1,0.00013377000000000002,19,33,2,2,16,1,24,0.006022286000000001
4,4,10,4,3,4,19,6,67,1.8049000000000003e-05,1,14,35,High,0.007053819,7.360000000000001e-06,13,33,1,3.35e-07,13,31,1,0.000158566,23,41,2,2,19,1,29,0.007694337000000001
5,5,10,4,3,4,22,6,72,1.9788e-05,1,16,41,High,0.008086434000000002,7.3510000000000004e-06,15,39,1,3.8600000000000004e-07,15,37,1,0.00017169600000000002,27,49,2,2,22,1,34,0.009860045000000001
6,6,10,4,3,4,25,6,77,1.8023e-05,1,18,47,High,0.008977352000000001,7.575e-06,17,45,1,3.5700000000000003e-07,17,43,1,0.00018112100000000002,31,57,2,2,25,1,39,0.011545812
7,7,10,4,3,4,28,6,82,2.2271e-05,1,20,53,High,0.010049239000000001,1.3187000000000001e-05,19,51,1,4.01e-07,19,49,1,0.00017884200000000002,35,65,2,2,28,1,44,0.013206046
8,8,10,4,3,4,31,6,87,2.0006e-05,1,22,59,High,0.010426376000000001,9.556000000000001e-06,21,57,1,3.82e-07,21,55,1,0.00018980600000000002,39,73,2,2,31,1,49,0.014865779
9,9,10,4,3,4,34,6,92,2.0634000000000003e-05,1,24,65,High,0.011305199,2.6344e-05,23,63,1,4.39e-07,23,61,1,0.000199719,43,81,2,2,34,1,54,0.016521671
10,10,10,4,3,4,37,6,97,2.5475000000000003e-05,1,26,71,High,0.012314091000000001,2.4976000000000003e-05,25,69,1,4.64e-07,25,67,1,0.000225433,47,89,2,2,37,1,59,0.018373321
11,11,20,4,3,4,40,6,102,2.1052e-05,1,28,77,High,0.013366873000000001,3.1186e-05,27,75,1,4.7000000000000005e-07,27,73,1,0.000231169,51,97,2,2,40,1,64,0.019974839
12,12,20,4,3,4,43,6,107,2.1936e-05,1,30,83,High,0.01437058,2.8356e-05,29,81,1,4.54e-07,29,79,1,0.000244374,55,105,2,2,43,1,69,0.021698773
13,13,20,4,3,4,46,6,112,2.4084000000000002e-05,1,32,89,High,0.015446419000000001,1.3807e-05,31,87,1,4.85e-07,31,85,1,0.00025847200000000004,59,113,2,2,46,1,74,0.023322857000000002
14,14,20,4,3,4,49,6,117,2.2426000000000002e-05,1,34,95,High,0.013131919,2.9185000000000003e-05,33,93,1,4.6200000000000003e-07,33,91,1,0.000276952,63,121,2,2,49,1,79,0.024985628000000003
15,15,20,4,3,4,52,6,122,2.3831000000000003e-05,1,36,101,High,0.013902257000000001,1.4190000000000001e-05,35,99,1,5.350000000000001e-07,35,97,1,0.000295362,67,129,2,2,52,1,84,0.026653129
